,,ML,Low,High
Dallas,2020-03-10,2.0,0.34,6.43
Dallas,2020-03-11,1.8,0.38,4.45
Dallas,2020-03-12,1.69,0.37,3.85
Dallas,2020-03-13,1.83,0.46,3.79
Dallas,2020-03-14,1.7,0.48,3.44
Dallas,2020-03-15,1.77,0.55,3.36
Dallas,2020-03-16,2.06,0.78,3.5100000000000002
Dallas,2020-03-17,2.06,0.59,3.41
Dallas,2020-03-18,2.15,0.89,3.38
Dallas,2020-03-19,2.2,1.12,3.27
Dallas,2020-03-20,2.09,1.1500000000000001,3.02
Dallas,2020-03-21,1.95,1.11,2.77
Dallas,2020-03-22,1.9100000000000001,1.16,2.64
Dallas,2020-03-23,1.83,1.17,2.5100000000000002
Dallas,2020-03-24,1.83,1.24,2.45
Dallas,2020-03-25,1.78,1.23,2.32
Dallas,2020-03-26,1.7,1.2,2.2
Dallas,2020-03-27,1.6,1.1400000000000001,2.07
Dallas,2020-03-28,1.54,1.12,1.99
Dallas,2020-03-29,1.45,1.04,1.86
Dallas,2020-03-30,1.4000000000000001,1.01,1.79
Dallas,2020-03-31,1.36,0.99,1.74
Dallas,2020-04-01,1.32,0.97,1.69
Dallas,2020-04-02,1.29,0.9400000000000001,1.6300000000000001
Dallas,2020-04-03,1.23,0.89,1.56
Dallas,2020-04-04,1.18,0.86,1.52
Dallas,2020-04-05,1.12,0.81,1.46
Dallas,2020-04-06,1.07,0.74,1.3800000000000001
Dallas,2020-04-07,1.03,0.72,1.36
Dallas,2020-04-08,1.01,0.7000000000000001,1.34
Dallas,2020-04-09,1.0,0.6900000000000001,1.33
Dallas,2020-04-10,1.02,0.71,1.35
Dallas,2020-04-11,1.02,0.71,1.35
Dallas,2020-04-12,0.99,0.68,1.32
Dallas,2020-04-13,0.9400000000000001,0.62,1.26
Dallas,2020-04-14,0.85,0.52,1.17
Dallas,2020-04-15,0.74,0.41000000000000003,1.09
