,date,ML,Low,High
Alabama,2020-03-13,2.0,0.34,6.43
Alabama,2020-03-14,1.55,0.38,3.29
Alabama,2020-03-15,1.53,0.47000000000000003,2.95
Alabama,2020-03-16,1.5,0.52,2.72
Alabama,2020-03-17,1.6300000000000001,0.67,2.71
Alabama,2020-03-18,1.73,0.8200000000000001,2.66
Alabama,2020-03-19,1.71,0.92,2.56
Alabama,2020-03-20,1.69,0.91,2.48
Alabama,2020-03-21,1.72,1.0,2.43
Alabama,2020-03-22,1.9100000000000001,1.28,2.56
Alabama,2020-03-23,2.08,1.53,2.65
Alabama,2020-03-24,2.12,1.6300000000000001,2.6
Alabama,2020-03-25,2.04,1.6,2.45
Alabama,2020-03-26,1.9100000000000001,1.53,2.29
Alabama,2020-03-27,1.74,1.4000000000000001,2.1
Alabama,2020-03-28,1.57,1.25,1.9000000000000001
Alabama,2020-03-29,1.3800000000000001,1.08,1.7
Alabama,2020-03-30,1.25,0.96,1.56
Alabama,2020-03-31,1.21,0.91,1.49
Alabama,2020-04-01,1.18,0.9,1.47
Alabama,2020-04-02,1.21,0.9500000000000001,1.51
Alabama,2020-04-03,1.25,0.99,1.53
Alabama,2020-04-04,1.3,1.05,1.57
Alabama,2020-04-05,1.36,1.12,1.62
Alabama,2020-04-06,1.4000000000000001,1.16,1.6300000000000001
Alabama,2020-04-07,1.36,1.1400000000000001,1.59
Alabama,2020-04-08,1.35,1.1400000000000001,1.57
Alabama,2020-04-09,1.31,1.11,1.53
Alabama,2020-04-10,1.26,1.06,1.46
Alabama,2020-04-11,1.2,1.0,1.3900000000000001
Alabama,2020-04-12,1.1400000000000001,0.96,1.35
Alabama,2020-04-13,1.06,0.87,1.25
Alabama,2020-04-14,1.0,0.81,1.19
Alabama,2020-04-15,0.91,0.73,1.12
Alabama,2020-04-16,0.84,0.65,1.05
Alabama,2020-04-17,0.79,0.6,1.01
Alabama,2020-04-18,0.8,0.61,1.03
Alabama,2020-04-19,0.8300000000000001,0.62,1.04
Alabama,2020-04-20,0.92,0.71,1.1400000000000001
Alabama,2020-04-21,0.99,0.78,1.21
Alabama,2020-04-22,1.06,0.85,1.28
Alabama,2020-04-23,1.09,0.89,1.31
Alabama,2020-04-24,1.08,0.88,1.3
Alabama,2020-04-25,1.04,0.8300000000000001,1.24
Alabama,2020-04-26,0.99,0.79,1.21
Alabama,2020-04-27,0.93,0.72,1.1400000000000001
Alabama,2020-04-28,0.88,0.68,1.11
Alabama,2020-04-29,0.89,0.68,1.11
Alabama,2020-04-30,0.9400000000000001,0.72,1.1500000000000001
Alabama,2020-05-01,1.05,0.8300000000000001,1.26
Alabama,2020-05-02,1.1500000000000001,0.9400000000000001,1.36
Alabama,2020-05-03,1.22,1.01,1.42
Alabama,2020-05-04,1.27,1.07,1.47
Alabama,2020-05-05,1.28,1.09,1.48
Alabama,2020-05-06,1.25,1.07,1.44
Alabama,2020-05-07,1.21,1.02,1.3800000000000001
Alabama,2020-05-08,1.1500000000000001,0.98,1.34
Alabama,2020-05-09,1.08,0.9,1.25
Alabama,2020-05-10,1.03,0.86,1.21
Alabama,2020-05-11,1.0,0.8200000000000001,1.17
Alabama,2020-05-12,0.99,0.81,1.16
Alabama,2020-05-13,0.99,0.81,1.16
Alabama,2020-05-14,0.97,0.79,1.1400000000000001
Alabama,2020-05-15,0.96,0.79,1.1500000000000001
Alabama,2020-05-16,0.9500000000000001,0.78,1.1400000000000001
Alabama,2020-05-17,1.02,0.85,1.21
Alabama,2020-05-18,1.07,0.89,1.24
Alabama,2020-05-19,1.1300000000000001,0.96,1.31
Alabama,2020-05-20,1.18,1.01,1.35
